"","player_name","season","team","games","total_attempts","total_completions","total_passing_yards","total_passing_tds","total_interceptions","completion_pct","yards_per_attempt","yards_per_game","total_passing_epa","pass_epa_per_att","avg_cpoe","td_pct","int_pct","total_sacks","sack_rate","avg_time_to_throw","total_carries","total_rushing_yards","total_rushing_tds","rushing_yards_per_carry","total_fantasy_points","fantasy_points_per_game"
"111","J.Flacco",2023,"CLE",6,250,157,1923,14,10,62.8,7.692,320.5,-19.3668792660572,-0.0774675170642287,0.394786191949321,5.6,4,12,4.58015267175572,2.99851612433322,12,15,0,1.25,114.42,19.07
"112","J.Flacco",2024,"IND",7,248,162,1761,12,7,65.3225806451613,7.1008064516129,251.571428571429,2.99938587216687,0.0120942978716406,0.993395962377612,4.83870967741935,2.82258064516129,18,6.76691729323308,2.69810000287237,9,26,0,2.88888888888889,99.04,14.1485714285714
"113","J.Garoppolo",2022,"SF",11,308,207,2437,16,4,67.2077922077922,7.91233766233766,221.545454545455,75.5064205218911,0.245150715980166,-2.47638977715772,5.1948051948052,1.2987012987013,18,5.52147239263804,2.6367543593258,23,33,2,1.43478260869565,164.78,14.98
"114","J.Garoppolo",2023,"LV",7,169,110,1205,7,9,65.0887573964497,7.1301775147929,172.142857142857,-19.1616354138621,-0.11338245807019,-1.4104634147675,4.14201183431953,5.32544378698225,14,7.65027322404372,2.9620057040182,20,39,0,1.95,64.1,9.15714285714286
"115","J.Garoppolo",2024,"LA",1,41,27,334,2,1,65.8536585365854,8.14634146341463,334,3.02463218411804,0.0737715166858058,-0.703410840615987,4.8780487804878,2.4390243902439,3,6.81818181818182,2.65926829268293,2,5,0,2.5,19.86,19.86
"116","J.Goff",2022,"DET",17,587,382,4438,29,7,65.076660988075,7.56047700170358,261.058823529412,100.964675717449,0.172001151137052,-2.25836111140924,4.94037478705281,1.19250425894378,23,3.77049180327869,2.74554922103102,29,73,0,2.51724137931034,283.32,16.6658823529412
"117","J.Goff",2023,"DET",20,716,484,5412,34,12,67.5977653631285,7.5586592178771,270.6,108.004871757197,0.150844792956979,1.07679906463311,4.74860335195531,1.67597765363128,37,4.9136786188579,2.72004717830831,41,24,2,0.585365853658537,338.88,16.944
"118","J.Goff",2024,"DET",18,579,413,4942,38,15,71.3298791018998,8.53540587219344,274.555555555556,163.061802032462,0.281626601092334,5.1461394383229,6.56303972366149,2.59067357512953,33,5.3921568627451,2.81645196219278,36,63,0,1.75,332.68,18.4822222222222
"119","J.Haener",2024,"NO",8,39,18,226,1,1,46.1538461538462,5.7948717948718,28.25,-14.9484791537611,-0.383294337275927,-3.25118613374584,2.56410256410256,2.56410256410256,6,13.3333333333333,2.55323529411765,11,22,0,2,13.24,1.655
"120","J.Hall",2023,"MIN",3,20,13,168,0,1,65,8.4,56,-12.6760427974374,-0.633802139871868,NA,0,5,4,16.6666666666667,NA,6,14,0,2.33333333333333,2.12,0.706666666666667
"121","J.Herbert",2022,"LAC",18,742,502,5012,26,10,67.6549865229111,6.75471698113208,278.444444444444,31.1041720388969,0.041919369324659,1.65335746378665,3.50404312668464,1.34770889487871,41,5.23627075351213,2.85536982846248,57,159,0,2.78947368421053,295.38,16.41
"122","J.Herbert",2023,"LAC",13,456,297,3134,20,7,65.1315789473684,6.87280701754386,241.076923076923,26.8638555228564,0.0589119638659132,-0.525118874208773,4.3859649122807,1.53508771929825,29,5.97938144329897,2.84709877820142,52,228,3,4.38461538461539,233.16,17.9353846153846
"123","J.Herbert",2024,"LAC",18,536,346,4112,24,7,64.5522388059701,7.67164179104478,228.444444444444,45.9052179331471,0.0856440633081103,0.877858217359801,4.47761194029851,1.30597014925373,45,7.74526678141136,2.92097857908653,69,306,2,4.43478260869565,291.08,16.1711111111111
"124","J.Hurts",2022,"PHI",18,547,364,4280,25,6,66.54478976234,7.82449725776965,237.777777777778,90.343727208138,0.165162206961861,1.88859347113016,4.57038391224863,1.09689213893967,42,7.13073005093379,2.74925485924635,200,903,18,4.515,457.5,25.4166666666667
"125","J.Hurts",2023,"PHI",18,573,377,4108,24,15,65.7940663176265,7.16928446771379,228.222222222222,60.2361313264934,0.105124138440652,4.64785734106721,4.18848167539267,2.61780104712042,39,6.37254901960784,2.98550687796728,158,610,15,3.86075949367089,371.32,20.6288888888889
"126","J.Hurts",2024,"PHI",19,452,313,3629,23,6,69.2477876106195,8.0287610619469,191,67.2174037891212,0.148711070329914,6.69458595555102,5.08849557522124,1.32743362831858,51,10.1391650099404,3.11770001863679,184,824,19,4.47826086956522,411.56,21.661052631579
"127","J.Johnson",2022,"SF",2,15,8,84,0,0,53.3333333333333,5.6,42,-2.86141612060601,-0.190761074707067,NA,0,0,2,11.7647058823529,NA,4,5,0,1.25,1.86,0.93
"128","J.Johnson",2024,"BAL",4,3,2,17,0,0,66.6666666666667,5.66666666666667,4.25,-1.80973551096395,-0.603245170321316,NA,0,0,1,25,NA,4,1,0,0.25,0.78,0.195
"129","J.Love",2022,"GB",4,21,14,195,1,0,66.6666666666667,9.28571428571429,48.75,3.53085999692742,0.168136190329877,NA,4.76190476190476,0,0,0,NA,1,-1,0,-1,11.7,2.925
"130","J.Love",2023,"GB",19,634,409,4625,37,13,64.5110410094637,7.29495268138801,243.421052631579,108.669839106131,0.17140353171314,-1.16896879358484,5.83596214511041,2.05047318611987,30,4.51807228915663,2.79250161298352,56,249,4,4.44642857142857,355.9,18.7315789473684
"131","J.Love",2024,"GB",16,458,288,3601,25,14,62.882096069869,7.86244541484716,225.0625,53.4704440561074,0.116747694445649,-0.609960967107521,5.4585152838428,3.05676855895197,16,3.37552742616034,2.87274702482174,27,93,1,3.44444444444444,237.34,14.83375
"132","J.Milton",2024,"NE",1,29,22,241,1,0,75.8620689655172,8.31034482758621,241,11.7907161317601,0.406576418336554,22.4946348317738,3.44827586206897,0,0,0,3.63148275862069,10,16,1,1.6,19.24,19.24
"133","J.Stidham",2022,"LV",3,83,53,656,4,3,63.855421686747,7.90361445783132,218.666666666667,-5.13012409190855,-0.0618087239988982,8.91834279534474,4.81927710843374,3.6144578313253,7,7.77777777777778,3.06594281045752,14,84,0,6,42.64,14.2133333333333
"134","J.Stidham",2023,"DEN",2,66,40,496,2,1,60.6060606060606,7.51515151515152,248,5.05342119600567,0.0765669878182677,-6.93073264487526,3.03030303030303,1.51515151515152,7,9.58904109589041,2.83850551470588,9,8,0,0.888888888888889,26.64,13.32
"135","J.Stidham",2024,"DEN",2,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,4,5,0,1.25,0.5,0.25
"136","J.Winston",2022,"NO",3,115,73,858,4,5,63.4782608695652,7.46086956521739,286,-7.01292297735435,-0.0609819389335161,4.02719813004842,3.47826086956522,4.34782608695652,11,8.73015873015873,2.75863206300813,5,16,0,3.2,43.92,14.64
"137","J.Winston",2023,"NO",6,47,25,264,2,3,53.1914893617021,5.61702127659574,44,-9.78901957483122,-0.208277012230451,-2.5034400485456,4.25531914893617,6.38297872340426,2,4.08163265306122,2.47698375,5,-6,0,-1.2,11.96,1.99333333333333
"138","J.Winston",2024,"CLE",11,296,181,2121,13,12,61.1486486486487,7.16554054054054,192.818181818182,-26.8449569391746,-0.090692422091806,-0.210090811370424,4.39189189189189,4.05405405405405,24,7.5,2.8089833628985,25,83,1,3.32,131.14,11.9218181818182
"139","J.Wolford",2022,"LA",2,62,38,390,1,3,61.2903225806452,6.29032258064516,195,-19.7487390648946,-0.318528049433784,-4.58322420206845,1.61290322580645,4.83870967741935,7,10.1449275362319,3.14333760683761,8,32,0,4,14.8,7.4
